angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"[824, 176, 292, 371]",0.0,0.02,0.0,0.86,0.11,0.0
0.01,"[824, 176, 292, 371]",0.0,0.02,0.0,0.86,0.11,0.0
0.01,"[824, 176, 292, 371]",0.0,0.02,0.0,0.86,0.1,0.0
0.01,"[824, 176, 293, 372]",0.0,0.02,0.0,0.86,0.11,0.0
0.01,"[824, 176, 293, 372]",0.0,0.02,0.0,0.85,0.11,0.0
0.01,"[823, 175, 294, 374]",0.0,0.02,0.0,0.86,0.11,0.01
0.01,"[823, 175, 294, 374]",0.0,0.02,0.0,0.86,0.11,0.01
0.01,"[823, 175, 294, 374]",0.0,0.02,0.0,0.86,0.11,0.01
0.01,"[822, 176, 294, 374]",0.0,0.02,0.0,0.86,0.1,0.01
0.01,"[822, 176, 293, 374]",0.0,0.02,0.0,0.86,0.1,0.01
0.01,"[820, 177, 295, 374]",0.0,0.03,0.0,0.83,0.12,0.01
0.01,"[820, 177, 295, 374]",0.0,0.03,0.0,0.83,0.12,0.01
0.01,"[820, 177, 295, 374]",0.0,0.03,0.0,0.83,0.12,0.01
0.01,"[842, 198, 274, 346]",0.0,0.03,0.0,0.9,0.06,0.0
0.01,"[841, 198, 276, 345]",0.0,0.03,0.0,0.89,0.06,0.0
0.01,"[842, 197, 278, 348]",0.0,0.03,0.0,0.88,0.07,0.01
0.01,"[842, 197, 278, 348]",0.0,0.04,0.0,0.87,0.07,0.01
0.01,"[842, 197, 278, 348]",0.0,0.04,0.0,0.87,0.07,0.01
0.02,"[842, 199, 277, 347]",0.0,0.05,0.0,0.84,0.09,0.01
0.02,"[842, 199, 277, 347]",0.0,0.05,0.0,0.85,0.09,0.01
0.01,"[843, 201, 275, 345]",0.0,0.04,0.0,0.89,0.06,0.0
0.01,"[842, 201, 277, 344]",0.0,0.03,0.0,0.89,0.06,0.0
0.01,"[842, 201, 277, 344]",0.0,0.03,0.0,0.89,0.06,0.0
0.01,"[842, 200, 276, 345]",0.0,0.04,0.0,0.85,0.09,0.01
0.01,"[842, 200, 276, 345]",0.0,0.04,0.0,0.85,0.09,0.01
0.01,"[843, 200, 277, 345]",0.0,0.04,0.0,0.88,0.07,0.01
0.01,"[843, 200, 277, 345]",0.0,0.04,0.0,0.88,0.07,0.01
0.01,"[843, 200, 277, 345]",0.0,0.04,0.0,0.88,0.07,0.01
0.01,"[843, 199, 275, 344]",0.0,0.05,0.0,0.85,0.09,0.01
0.01,"[843, 199, 275, 344]",0.0,0.05,0.0,0.85,0.09,0.01
0.01,"[844, 199, 273, 343]",0.0,0.05,0.0,0.85,0.08,0.01
0.01,"[844, 199, 273, 343]",0.0,0.05,0.0,0.85,0.08,0.01
0.01,"[844, 199, 273, 343]",0.0,0.05,0.0,0.85,0.08,0.01
0.01,"[844, 200, 273, 343]",0.0,0.05,0.0,0.87,0.07,0.01
0.01,"[844, 200, 273, 344]",0.0,0.03,0.0,0.9,0.05,0.01
0.0,"[844, 200, 274, 345]",0.0,0.03,0.0,0.91,0.05,0.01
0.01,"[844, 200, 274, 344]",0.0,0.04,0.0,0.9,0.05,0.01
0.0,"[844, 200, 274, 345]",0.0,0.03,0.0,0.92,0.04,0.01
0.0,"[844, 199, 273, 346]",0.0,0.02,0.0,0.93,0.04,0.0
0.0,"[844, 200, 273, 345]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[844, 201, 275, 341]",0.0,0.05,0.0,0.86,0.08,0.01
0.01,"[844, 201, 275, 341]",0.0,0.05,0.0,0.86,0.07,0.01
0.01,"[844, 201, 275, 341]",0.0,0.05,0.0,0.86,0.07,0.01
0.01,"[844, 200, 274, 344]",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"[844, 200, 274, 344]",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"[844, 200, 274, 344]",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"[844, 200, 274, 344]",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"[844, 200, 274, 344]",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"[846, 201, 274, 345]",0.0,0.03,0.0,0.92,0.04,0.0
0.01,"[846, 202, 275, 344]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[847, 202, 274, 343]",0.0,0.05,0.0,0.87,0.07,0.01
0.01,"[847, 203, 274, 342]",0.0,0.04,0.0,0.89,0.06,0.01
0.01,"[847, 203, 274, 342]",0.0,0.04,0.0,0.89,0.06,0.01
0.01,"[847, 202, 275, 345]",0.0,0.03,0.0,0.89,0.06,0.01
0.01,"[847, 202, 275, 345]",0.0,0.03,0.0,0.89,0.06,0.01
0.01,"[847, 203, 275, 343]",0.0,0.04,0.0,0.9,0.05,0.01
0.01,"[847, 203, 274, 343]",0.0,0.04,0.0,0.9,0.05,0.01
0.01,"[847, 203, 274, 343]",0.0,0.04,0.0,0.9,0.05,0.01
0.01,"[848, 204, 274, 343]",0.0,0.03,0.0,0.93,0.04,0.0
0.01,"[848, 204, 274, 343]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[847, 203, 276, 344]",0.0,0.03,0.0,0.9,0.05,0.0
0.01,"[846, 203, 277, 344]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[846, 203, 277, 344]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[846, 201, 278, 347]",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"[846, 201, 278, 347]",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"[825, 183, 294, 376]",0.0,0.01,0.0,0.9,0.08,0.0
0.01,"[825, 183, 294, 376]",0.0,0.01,0.0,0.9,0.08,0.0
0.01,"[825, 183, 294, 376]",0.0,0.01,0.0,0.9,0.08,0.0
0.01,"[827, 182, 293, 375]",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"[827, 182, 293, 375]",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"[843, 199, 279, 351]",0.0,0.03,0.0,0.9,0.05,0.01
0.01,"[843, 199, 279, 351]",0.0,0.03,0.0,0.91,0.05,0.01
0.01,"[843, 200, 279, 350]",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"[844, 200, 278, 349]",0.0,0.03,0.0,0.93,0.04,0.0
0.01,"[844, 200, 278, 349]",0.0,0.03,0.0,0.93,0.03,0.0
0.01,"[847, 202, 277, 346]",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"[849, 200, 277, 347]",0.0,0.06,0.0,0.85,0.06,0.01
0.01,"[849, 200, 277, 348]",0.0,0.05,0.0,0.89,0.05,0.01
0.01,"[848, 200, 278, 348]",0.0,0.05,0.0,0.89,0.04,0.01
0.01,"[848, 200, 277, 348]",0.0,0.05,0.0,0.89,0.04,0.01
0.01,"[848, 200, 277, 348]",0.0,0.05,0.0,0.89,0.04,0.01
0.01,"[847, 198, 278, 350]",0.0,0.1,0.0,0.79,0.07,0.03
0.01,"[847, 198, 279, 350]",0.0,0.09,0.0,0.81,0.06,0.02
0.01,"[847, 193, 284, 357]",0.0,0.25,0.0,0.25,0.05,0.44
0.01,"[824, 180, 299, 374]",0.0,0.12,0.0,0.61,0.07,0.18
0.01,"[825, 180, 297, 374]",0.0,0.12,0.0,0.61,0.07,0.18
0.01,"[845, 192, 283, 358]",0.0,0.46,0.0,0.04,0.02,0.45
0.02,"[846, 191, 281, 359]",0.0,0.44,0.0,0.04,0.03,0.47
0.02,"[846, 189, 279, 353]",0.0,0.35,0.03,0.03,0.02,0.54
0.02,"[845, 190, 280, 353]",0.0,0.32,0.05,0.02,0.02,0.57
0.02,"[846, 190, 280, 353]",0.0,0.29,0.05,0.02,0.02,0.6
0.01,"[844, 186, 281, 354]",0.0,0.05,0.56,0.01,0.0,0.37
0.01,"[844, 186, 281, 353]",0.0,0.04,0.52,0.01,0.0,0.41
0.0,"[846, 187, 279, 349]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[846, 187, 279, 349]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[846, 187, 279, 349]",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"[830, 178, 298, 366]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[831, 179, 297, 366]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[830, 178, 297, 363]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[830, 178, 297, 363]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[830, 178, 297, 363]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[843, 183, 281, 349]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[844, 182, 281, 350]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[828, 166, 294, 371]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[828, 166, 294, 371]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[828, 166, 294, 371]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[829, 165, 292, 372]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[829, 165, 292, 372]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[828, 166, 293, 371]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[828, 165, 293, 372]",0.0,0.01,0.95,0.0,0.0,0.04
0.0,"[828, 166, 293, 370]",0.0,0.01,0.94,0.0,0.0,0.04
0.0,"[827, 165, 293, 372]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[827, 165, 293, 372]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[827, 166, 293, 371]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[827, 167, 293, 370]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[827, 167, 293, 370]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[824, 173, 298, 367]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[824, 173, 298, 367]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[829, 177, 296, 364]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[829, 177, 295, 363]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[833, 184, 294, 363]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[832, 181, 295, 362]",0.0,0.0,1.0,0.0,0.0,0.0
